[  1/1000] wait=True freq=0.56Hz amp=34.4deg Kp=30.3 Kd=13.8 fx=-0.030 fy=0.003 | fell=False dist=2.79m CoT=0.554 settle_t=2.380s | SAVED
[  2/1000] wait=False freq=0.56Hz amp=34.4deg Kp=30.3 Kd=13.8 fx=-0.030 fy=0.003 | fell=True dist=0.53m CoT=0.315 settle_t=0.000s | skipped
[  3/1000] wait=True freq=0.58Hz amp=30.7deg Kp=21.2 Kd=10.6 fx=0.005 fy=-0.017 | fell=True dist=0.45m CoT=0.668 settle_t=8.190s | skipped
[  4/1000] wait=False freq=0.58Hz amp=30.7deg Kp=21.2 Kd=10.6 fx=0.005 fy=-0.017 | fell=False dist=0.21m CoT=2.643 settle_t=0.000s | skipped
[  5/1000] wait=True freq=0.49Hz amp=38.6deg Kp=39.3 Kd=11.2 fx=-0.069 fy=0.008 | fell=True dist=1.21m CoT=0.905 settle_t=1.000s | skipped
[  6/1000] wait=False freq=0.49Hz amp=38.6deg Kp=39.3 Kd=11.2 fx=-0.069 fy=0.008 | fell=True dist=0.51m CoT=2.868 settle_t=0.000s | skipped
[  7/1000] wait=True freq=0.62Hz amp=38.2deg Kp=22.4 Kd=12.4 fx=-0.025 fy=-0.008 | fell=True dist=0.32m CoT=1.096 settle_t=5.186s | skipped
[  8/1000] wait=False freq=0.62Hz amp=38.2deg Kp=22.4 Kd=12.4 fx=-0.025 fy=-0.008 | fell=True dist=0.99m CoT=0.573 settle_t=0.000s | skipped
[  9/1000] wait=True freq=0.48Hz amp=24.5deg Kp=23.8 Kd=12.6 fx=-0.020 fy=0.002 | fell=False dist=0.29m CoT=1.628 settle_t=2.324s | skipped
[ 10/1000] wait=False freq=0.48Hz amp=24.5deg Kp=23.8 Kd=12.6 fx=-0.020 fy=0.002 | fell=False dist=0.19m CoT=2.697 settle_t=0.000s | skipped
[ 11/1000] wait=True freq=0.76Hz amp=28.1deg Kp=41.9 Kd=12.0 fx=0.015 fy=-0.015 | fell=True dist=1.70m CoT=0.347 settle_t=4.854s | skipped
