[  1/500] wait=True freq=0.45Hz amp=33.6deg Kp=38.3 Kd=12.6 fx=-0.049 fy=0.002 | fell=True dist=1.42m CoT=0.408 settle_t=0.300s | skipped
[  2/500] wait=False freq=0.45Hz amp=33.6deg Kp=38.3 Kd=12.6 fx=-0.049 fy=0.002 | fell=True dist=1.16m CoT=0.855 settle_t=0.000s | skipped
[  3/500] wait=True freq=0.51Hz amp=39.0deg Kp=21.1 Kd=6.9 fx=0.005 fy=0.008 | fell=False dist=0.08m CoT=5.157 settle_t=0.300s | skipped
[  4/500] wait=False freq=0.51Hz amp=39.0deg Kp=21.1 Kd=6.9 fx=0.005 fy=0.008 | fell=False dist=0.20m CoT=2.168 settle_t=0.000s | skipped
[  5/500] wait=True freq=0.53Hz amp=24.3deg Kp=35.0 Kd=5.3 fx=-0.062 fy=-0.004 | fell=False dist=0.27m CoT=3.584 settle_t=0.300s | skipped
[  6/500] wait=False freq=0.53Hz amp=24.3deg Kp=35.0 Kd=5.3 fx=-0.062 fy=-0.004 | fell=False dist=0.23m CoT=4.559 settle_t=0.000s | skipped
[  7/500] wait=True freq=0.70Hz amp=22.5deg Kp=37.1 Kd=2.7 fx=-0.038 fy=-0.005 | fell=False dist=0.13m CoT=3.527 settle_t=0.300s | skipped
[  8/500] wait=False freq=0.70Hz amp=22.5deg Kp=37.1 Kd=2.7 fx=-0.038 fy=-0.005 | fell=False dist=0.06m CoT=7.551 settle_t=0.000s | skipped
[  9/500] wait=True freq=0.69Hz amp=23.8deg Kp=39.1 Kd=7.9 fx=-0.067 fy=-0.017 | fell=False dist=0.05m CoT=27.340 settle_t=0.300s | skipped
[ 10/500] wait=False freq=0.69Hz amp=23.8deg Kp=39.1 Kd=7.9 fx=-0.067 fy=-0.017 | fell=False dist=0.25m CoT=6.633 settle_t=0.000s | skipped
[ 11/500] wait=True freq=0.74Hz amp=24.0deg Kp=32.9 Kd=15.0 fx=0.021 fy=-0.010 | fell=True dist=1.40m CoT=0.294 settle_t=0.300s | skipped
[ 12/500] wait=False freq=0.74Hz amp=24.0deg Kp=32.9 Kd=15.0 fx=0.021 fy=-0.010 | fell=True dist=0.91m CoT=0.338 settle_t=0.000s | skipped
[ 13/500] wait=True freq=0.52Hz amp=29.8deg Kp=36.4 Kd=6.2 fx=-0.053 fy=0.004 | fell=False dist=0.18m CoT=8.460 settle_t=0.300s | skipped
[ 14/500] wait=False freq=0.52Hz amp=29.8deg Kp=36.4 Kd=6.2 fx=-0.053 fy=0.004 | fell=False dist=0.16m CoT=9.024 settle_t=0.000s | skipped
[ 15/500] wait=True freq=0.73Hz amp=37.1deg Kp=30.9 Kd=4.6 fx=-0.069 fy=0.004 | fell=False dist=0.35m CoT=5.192 settle_t=0.300s | skipped
[ 16/500] wait=False freq=0.73Hz amp=37.1deg Kp=30.9 Kd=4.6 fx=-0.069 fy=0.004 | fell=False dist=0.27m CoT=7.057 settle_t=0.000s | skipped
[ 17/500] wait=True freq=0.76Hz amp=25.0deg Kp=40.8 Kd=10.3 fx=-0.023 fy=0.001 | fell=False dist=0.20m CoT=4.362 settle_t=0.300s | skipped
[ 18/500] wait=False freq=0.76Hz amp=25.0deg Kp=40.8 Kd=10.3 fx=-0.023 fy=0.001 | fell=False dist=0.13m CoT=6.472 settle_t=0.000s | skipped
[ 19/500] wait=True freq=0.45Hz amp=39.8deg Kp=44.5 Kd=14.5 fx=-0.041 fy=-0.005 | fell=True dist=0.39m CoT=1.948 settle_t=0.300s | skipped
[ 20/500] wait=False freq=0.45Hz amp=39.8deg Kp=44.5 Kd=14.5 fx=-0.041 fy=-0.005 | fell=True dist=1.29m CoT=0.666 settle_t=0.000s | skipped
[ 21/500] wait=True freq=0.50Hz amp=39.1deg Kp=28.3 Kd=13.4 fx=-0.037 fy=-0.010 | fell=True dist=0.30m CoT=1.047 settle_t=0.300s | skipped
[ 22/500] wait=False freq=0.50Hz amp=39.1deg Kp=28.3 Kd=13.4 fx=-0.037 fy=-0.010 | fell=True dist=1.45m CoT=0.418 settle_t=0.000s | skipped
[ 23/500] wait=True freq=0.70Hz amp=27.0deg Kp=22.8 Kd=13.7 fx=-0.068 fy=-0.002 | fell=True dist=0.87m CoT=2.088 settle_t=0.300s | skipped
[ 24/500] wait=False freq=0.70Hz amp=27.0deg Kp=22.8 Kd=13.7 fx=-0.068 fy=-0.002 | fell=False dist=0.37m CoT=5.095 settle_t=0.000s | skipped
[ 25/500] wait=True freq=0.51Hz amp=34.6deg Kp=31.7 Kd=11.2 fx=-0.065 fy=-0.005 | fell=False dist=0.84m CoT=2.886 settle_t=0.300s | skipped
[ 26/500] wait=False freq=0.51Hz amp=34.6deg Kp=31.7 Kd=11.2 fx=-0.065 fy=-0.005 | fell=False dist=0.85m CoT=2.807 settle_t=0.000s | skipped
[ 27/500] wait=True freq=0.65Hz amp=22.6deg Kp=34.6 Kd=10.2 fx=-0.046 fy=-0.011 | fell=False dist=0.17m CoT=5.099 settle_t=0.300s | skipped
[ 28/500] wait=False freq=0.65Hz amp=22.6deg Kp=34.6 Kd=10.2 fx=-0.046 fy=-0.011 | fell=False dist=0.11m CoT=7.179 settle_t=0.000s | skipped
[ 29/500] wait=True freq=0.41Hz amp=36.9deg Kp=20.5 Kd=14.3 fx=0.002 fy=-0.012 | fell=True dist=0.96m CoT=0.145 settle_t=0.300s | skipped
[ 30/500] wait=False freq=0.41Hz amp=36.9deg Kp=20.5 Kd=14.3 fx=0.002 fy=-0.012 | fell=True dist=0.60m CoT=0.800 settle_t=0.000s | skipped
[ 31/500] wait=True freq=0.74Hz amp=27.7deg Kp=42.8 Kd=14.5 fx=0.013 fy=-0.006 | fell=True dist=0.68m CoT=0.380 settle_t=0.300s | skipped
[ 32/500] wait=False freq=0.74Hz amp=27.7deg Kp=42.8 Kd=14.5 fx=0.013 fy=-0.006 | fell=True dist=0.80m CoT=0.526 settle_t=0.000s | skipped
[ 33/500] wait=True freq=0.41Hz amp=36.3deg Kp=27.8 Kd=7.8 fx=-0.019 fy=0.001 | fell=False dist=0.59m CoT=1.374 settle_t=0.300s | skipped
[ 34/500] wait=False freq=0.41Hz amp=36.3deg Kp=27.8 Kd=7.8 fx=-0.019 fy=0.001 | fell=False dist=0.85m CoT=1.100 settle_t=0.000s | skipped
[ 35/500] wait=True freq=0.55Hz amp=27.9deg Kp=40.5 Kd=12.3 fx=-0.005 fy=-0.002 | fell=False dist=0.10m CoT=8.143 settle_t=0.300s | skipped
[ 36/500] wait=False freq=0.55Hz amp=27.9deg Kp=40.5 Kd=12.3 fx=-0.005 fy=-0.002 | fell=True dist=0.85m CoT=0.619 settle_t=0.000s | skipped
[ 37/500] wait=True freq=0.42Hz amp=21.1deg Kp=37.3 Kd=9.7 fx=0.022 fy=-0.019 | fell=False dist=0.62m CoT=0.623 settle_t=0.300s | skipped
[ 38/500] wait=False freq=0.42Hz amp=21.1deg Kp=37.3 Kd=9.7 fx=0.022 fy=-0.019 | fell=False dist=0.61m CoT=0.489 settle_t=0.000s | skipped
[ 39/500] wait=True freq=0.76Hz amp=20.2deg Kp=41.4 Kd=14.0 fx=-0.005 fy=0.009 | fell=False dist=0.12m CoT=4.184 settle_t=0.300s | skipped
[ 40/500] wait=False freq=0.76Hz amp=20.2deg Kp=41.4 Kd=14.0 fx=-0.005 fy=0.009 | fell=False dist=0.08m CoT=6.390 settle_t=0.000s | skipped
[ 41/500] wait=True freq=0.53Hz amp=25.7deg Kp=25.5 Kd=10.6 fx=0.013 fy=0.008 | fell=False dist=0.10m CoT=2.861 settle_t=0.300s | skipped
[ 42/500] wait=False freq=0.53Hz amp=25.7deg Kp=25.5 Kd=10.6 fx=0.013 fy=0.008 | fell=False dist=0.08m CoT=3.100 settle_t=0.000s | skipped
[ 43/500] wait=True freq=0.60Hz amp=38.5deg Kp=30.6 Kd=4.4 fx=-0.060 fy=-0.008 | fell=True dist=0.72m CoT=1.013 settle_t=0.300s | skipped
[ 44/500] wait=False freq=0.60Hz amp=38.5deg Kp=30.6 Kd=4.4 fx=-0.060 fy=-0.008 | fell=True dist=0.37m CoT=0.490 settle_t=0.000s | skipped
[ 45/500] wait=True freq=0.64Hz amp=39.7deg Kp=21.8 Kd=8.3 fx=-0.069 fy=-0.006 | fell=False dist=0.40m CoT=5.557 settle_t=0.300s | skipped
[ 46/500] wait=False freq=0.64Hz amp=39.7deg Kp=21.8 Kd=8.3 fx=-0.069 fy=-0.006 | fell=True dist=0.44m CoT=1.600 settle_t=0.000s | skipped
[ 47/500] wait=True freq=0.73Hz amp=33.2deg Kp=21.6 Kd=10.5 fx=-0.070 fy=-0.001 | fell=True dist=0.19m CoT=9.606 settle_t=0.300s | skipped
[ 48/500] wait=False freq=0.73Hz amp=33.2deg Kp=21.6 Kd=10.5 fx=-0.070 fy=-0.001 | fell=True dist=2.05m CoT=0.516 settle_t=0.000s | skipped
[ 49/500] wait=True freq=0.72Hz amp=30.3deg Kp=44.1 Kd=3.5 fx=-0.056 fy=-0.016 | fell=True dist=0.27m CoT=7.732 settle_t=0.300s | skipped
[ 50/500] wait=False freq=0.72Hz amp=30.3deg Kp=44.1 Kd=3.5 fx=-0.056 fy=-0.016 | fell=True dist=0.31m CoT=1.085 settle_t=0.000s | skipped
[ 51/500] wait=True freq=0.52Hz amp=22.0deg Kp=21.7 Kd=11.5 fx=-0.068 fy=0.006 | fell=False dist=0.45m CoT=1.594 settle_t=0.300s | skipped
[ 52/500] wait=False freq=0.52Hz amp=22.0deg Kp=21.7 Kd=11.5 fx=-0.068 fy=0.006 | fell=False dist=0.26m CoT=2.884 settle_t=0.000s | skipped
[ 53/500] wait=True freq=0.71Hz amp=39.6deg Kp=33.9 Kd=8.4 fx=-0.022 fy=-0.007 | fell=True dist=1.12m CoT=0.732 settle_t=0.300s | skipped
[ 54/500] wait=False freq=0.71Hz amp=39.6deg Kp=33.9 Kd=8.4 fx=-0.022 fy=-0.007 | fell=True dist=1.44m CoT=0.999 settle_t=0.000s | skipped
[ 55/500] wait=True freq=0.46Hz amp=23.4deg Kp=20.3 Kd=13.3 fx=-0.058 fy=-0.008 | fell=False dist=0.19m CoT=3.419 settle_t=0.300s | skipped
[ 56/500] wait=False freq=0.46Hz amp=23.4deg Kp=20.3 Kd=13.3 fx=-0.058 fy=-0.008 | fell=False dist=0.24m CoT=2.748 settle_t=0.000s | skipped
[ 57/500] wait=True freq=0.75Hz amp=38.4deg Kp=33.8 Kd=11.1 fx=-0.036 fy=-0.013 | fell=True dist=0.63m CoT=0.540 settle_t=0.300s | skipped
[ 58/500] wait=False freq=0.75Hz amp=38.4deg Kp=33.8 Kd=11.1 fx=-0.036 fy=-0.013 | fell=True dist=0.50m CoT=0.693 settle_t=0.000s | skipped
[ 59/500] wait=True freq=0.45Hz amp=26.7deg Kp=22.3 Kd=4.8 fx=0.015 fy=-0.014 | fell=False dist=0.27m CoT=0.515 settle_t=0.300s | skipped
[ 60/500] wait=False freq=0.45Hz amp=26.7deg Kp=22.3 Kd=4.8 fx=0.015 fy=-0.014 | fell=False dist=0.31m CoT=0.490 settle_t=0.000s | skipped
[ 61/500] wait=True freq=0.68Hz amp=28.6deg Kp=31.8 Kd=3.9 fx=-0.009 fy=0.003 | fell=False dist=0.15m CoT=1.643 settle_t=0.300s | skipped
