Amplitude_Deg,Frequency_Hz,Start_Amp_Mult,Start_Freq_Mult,Fell,Distance_Traversed,CoT,Passed
31.0839,0.5314,1.2014,1.3811,False,0.1222,0.5027,False
38.0859,0.5523,1.0224,1.1425,False,0.4737,0.7344,False
35.2308,0.5094,1.5463,1.1135,False,0.2438,0.6157,False
33.6534,0.6516,1.6856,1.0274,False,0.1147,0.7535,False
42.3668,0.5631,1.6117,1.2906,False,0.2127,0.5413,False
44.8863,0.4942,1.0503,0.9877,False,0.1233,0.7182,False
40.0832,0.4704,1.1353,1.0217,False,0.1193,0.7358,False
36.2769,0.5221,0.9426,1.2952,False,0.2278,0.7249,False
41.6511,0.5646,1.5953,1.0907,False,0.0996,0.8794,False
44.3805,0.5842,1.1677,1.1013,False,0.2137,0.7722,False
41.7844,0.4976,1.563,1.2718,True,0.2983,1.0812,False
32.5752,0.4734,1.6461,1.377,True,0.7119,0.398,False
44.1476,0.5013,0.998,0.8189,False,0.1015,0.896,False
38.582,0.5331,1.6929,1.0655,False,0.1795,0.4833,False
42.6812,0.5795,1.2886,1.3642,False,0.1065,1.7423,False
40.2497,0.6502,1.6243,0.8416,False,0.0801,1.1303,False
43.4048,0.6126,0.9644,1.0969,False,0.1286,0.7278,False
39.5954,0.5358,1.3579,1.2501,False,0.1326,0.8923,False
40.372,0.6265,1.3894,1.356,False,0.2181,0.6383,False
44.656,0.6387,1.4444,1.1915,False,0.2139,0.5305,False
40.8504,0.4567,1.2119,0.7548,False,0.1208,0.7182,False
30.7466,0.5058,1.6728,0.7388,False,0.1115,0.5109,False
42.8758,0.5555,0.8585,1.0591,False,0.1451,1.4676,False
35.6331,0.5404,0.887,0.8566,False,0.1252,0.6057,False
38.1957,0.4662,1.3988,0.7143,False,0.1035,0.8425,False
37.3637,0.6453,1.1773,1.2392,False,0.0966,1.0184,False
39.9332,0.6232,0.8355,0.8731,False,0.1306,0.6624,False
31.7855,0.4864,1.4654,1.2796,False,0.1391,0.6282,False
34.6041,0.4915,1.7482,1.156,False,0.107,1.6105,False
37.6862,0.4604,0.9057,1.3326,False,0.1675,0.5224,False
30.3624,0.5442,1.3092,0.9491,False,0.1139,0.464,False
43.1938,0.6281,1.2267,1.133,False,0.1988,0.4788,False
44.0845,0.5575,1.5083,0.7075,False,0.1924,0.6024,False
