Amplitude_Deg,Frequency_Hz,Start_Amp_Mult,Start_Freq_Mult,Fell,Distance_Traversed,CoT,Passed
30.0,0.44000000000000006,0.8,0.7,False,0.0686,2.2849,False
30.0,0.44000000000000006,0.8,0.7777777777777777,False,0.0328,4.6515,False
30.0,0.44000000000000006,0.8,0.8555555555555555,False,0.1232,1.3594,False
30.0,0.44000000000000006,0.8,0.9333333333333333,False,0.14,1.2432,False
30.0,0.44000000000000006,0.8,1.011111111111111,False,0.143,1.1702,False
30.0,0.44000000000000006,0.8,1.0888888888888888,True,0.9313,0.2996,False
30.0,0.44000000000000006,0.8,1.1666666666666665,False,0.1028,1.5985,False
30.0,0.44000000000000006,0.8,1.2444444444444445,False,0.1237,1.8269,False
30.0,0.44000000000000006,0.8,1.3222222222222222,False,0.0465,3.8868,False
30.0,0.44000000000000006,0.8,1.4,False,0.0567,2.936,False
30.0,0.44000000000000006,0.9111111111111112,0.7,False,0.3827,1.2825,False
30.0,0.44000000000000006,0.9111111111111112,0.7777777777777777,False,0.0496,3.1963,False
30.0,0.44000000000000006,0.9111111111111112,0.8555555555555555,True,0.8448,0.4597,False
30.0,0.44000000000000006,0.9111111111111112,0.9333333333333333,False,0.5606,0.4871,False
30.0,0.44000000000000006,0.9111111111111112,1.011111111111111,False,0.1274,1.5327,False
30.0,0.44000000000000006,0.9111111111111112,1.0888888888888888,False,0.0435,5.0321,False
30.0,0.44000000000000006,0.9111111111111112,1.1666666666666665,False,0.0209,9.5912,False
30.0,0.44000000000000006,0.9111111111111112,1.2444444444444445,False,0.2723,0.5281,False
30.0,0.44000000000000006,0.9111111111111112,1.3222222222222222,False,0.1488,0.975,False
30.0,0.44000000000000006,0.9111111111111112,1.4,False,0.3242,0.8687,False
30.0,0.44000000000000006,1.0222222222222221,0.7,False,0.0484,2.9108,False
30.0,0.44000000000000006,1.0222222222222221,0.7777777777777777,False,0.1125,1.809,False
30.0,0.44000000000000006,1.0222222222222221,0.8555555555555555,False,0.1423,1.692,False
30.0,0.44000000000000006,1.0222222222222221,0.9333333333333333,False,0.0964,2.4402,False
30.0,0.44000000000000006,1.0222222222222221,1.011111111111111,False,0.2432,1.205,False
30.0,0.44000000000000006,1.0222222222222221,1.0888888888888888,False,0.1364,2.4313,False
30.0,0.44000000000000006,1.0222222222222221,1.1666666666666665,False,0.0099,19.2549,False
30.0,0.44000000000000006,1.0222222222222221,1.2444444444444445,False,0.4403,0.7012,False
30.0,0.44000000000000006,1.0222222222222221,1.3222222222222222,False,0.0933,1.9659,False
30.0,0.44000000000000006,1.0222222222222221,1.4,False,0.0117,18.3134,False
30.0,0.44000000000000006,1.1333333333333333,0.7,True,1.2865,0.1915,False
30.0,0.44000000000000006,1.1333333333333333,0.7777777777777777,False,0.1462,1.9131,False
30.0,0.44000000000000006,1.1333333333333333,0.8555555555555555,False,0.1505,1.6396,False
30.0,0.44000000000000006,1.1333333333333333,0.9333333333333333,False,0.0525,6.6452,False
30.0,0.44000000000000006,1.1333333333333333,1.011111111111111,True,0.8448,0.1652,False
30.0,0.44000000000000006,1.1333333333333333,1.0888888888888888,False,0.6201,0.3501,False
30.0,0.44000000000000006,1.1333333333333333,1.1666666666666665,False,0.3128,1.0883,False
30.0,0.44000000000000006,1.1333333333333333,1.2444444444444445,True,0.9749,0.1718,False
30.0,0.44000000000000006,1.1333333333333333,1.3222222222222222,False,0.1705,0.9136,False
30.0,0.44000000000000006,1.1333333333333333,1.4,True,0.9144,0.3067,False
30.0,0.44000000000000006,1.2444444444444445,0.7,True,0.5545,0.5222,False
30.0,0.44000000000000006,1.2444444444444445,0.7777777777777777,False,0.1189,1.8335,False
30.0,0.44000000000000006,1.2444444444444445,0.8555555555555555,False,0.168,1.5444,False
30.0,0.44000000000000006,1.2444444444444445,0.9333333333333333,False,0.0981,2.1787,False
30.0,0.44000000000000006,1.2444444444444445,1.011111111111111,False,0.106,2.0198,False
30.0,0.44000000000000006,1.2444444444444445,1.0888888888888888,False,0.135,1.5432,False
30.0,0.44000000000000006,1.2444444444444445,1.1666666666666665,False,0.0803,2.3621,False
30.0,0.44000000000000006,1.2444444444444445,1.2444444444444445,False,0.4198,0.717,False
30.0,0.44000000000000006,1.2444444444444445,1.3222222222222222,False,0.4718,0.7409,False
30.0,0.44000000000000006,1.2444444444444445,1.4,True,1.2356,0.1504,False
30.0,0.44000000000000006,1.3555555555555556,0.7,True,1.092,0.2,False
30.0,0.44000000000000006,1.3555555555555556,0.7777777777777777,False,0.0579,3.3375,False
30.0,0.44000000000000006,1.3555555555555556,0.8555555555555555,False,0.1303,1.8842,False
30.0,0.44000000000000006,1.3555555555555556,0.9333333333333333,False,0.1817,1.6273,False
30.0,0.44000000000000006,1.3555555555555556,1.011111111111111,False,0.1414,1.7659,False
30.0,0.44000000000000006,1.3555555555555556,1.0888888888888888,False,0.0186,9.9509,False
30.0,0.44000000000000006,1.3555555555555556,1.1666666666666665,False,0.0452,4.2557,False
30.0,0.44000000000000006,1.3555555555555556,1.2444444444444445,False,0.3178,1.0079,False
30.0,0.44000000000000006,1.3555555555555556,1.3222222222222222,False,0.0227,7.8936,False
30.0,0.44000000000000006,1.3555555555555556,1.4,True,0.7657,0.2109,False
30.0,0.44000000000000006,1.4666666666666668,0.7,True,0.9956,0.2534,False
30.0,0.44000000000000006,1.4666666666666668,0.7777777777777777,False,0.103,2.2832,False
30.0,0.44000000000000006,1.4666666666666668,0.8555555555555555,True,0.5852,0.314,False
30.0,0.44000000000000006,1.4666666666666668,0.9333333333333333,True,0.5092,0.5928,False
30.0,0.44000000000000006,1.4666666666666668,1.011111111111111,False,0.0442,5.6455,False
30.0,0.44000000000000006,1.4666666666666668,1.0888888888888888,True,1.0779,0.2677,False
30.0,0.44000000000000006,1.4666666666666668,1.1666666666666665,False,0.1618,1.3312,False
30.0,0.44000000000000006,1.4666666666666668,1.2444444444444445,False,0.0871,2.1068,False
30.0,0.44000000000000006,1.4666666666666668,1.3222222222222222,False,0.4626,1.1897,False
30.0,0.44000000000000006,1.4666666666666668,1.4,False,0.0981,2.0731,False
30.0,0.44000000000000006,1.5777777777777777,0.7,False,0.2345,1.388,False
30.0,0.44000000000000006,1.5777777777777777,0.7777777777777777,False,0.1414,1.4574,False
30.0,0.44000000000000006,1.5777777777777777,0.8555555555555555,False,0.2065,1.0983,False
30.0,0.44000000000000006,1.5777777777777777,0.9333333333333333,True,0.77,0.2953,False
30.0,0.44000000000000006,1.5777777777777777,1.011111111111111,False,0.3498,0.4775,False
30.0,0.44000000000000006,1.5777777777777777,1.0888888888888888,False,0.2539,1.3187,False
30.0,0.44000000000000006,1.5777777777777777,1.1666666666666665,False,0.0082,35.0139,False
30.0,0.44000000000000006,1.5777777777777777,1.2444444444444445,False,0.1222,1.4721,False
30.0,0.44000000000000006,1.5777777777777777,1.3222222222222222,True,0.9539,0.3319,False
30.0,0.44000000000000006,1.5777777777777777,1.4,False,0.0164,9.7824,False
30.0,0.44000000000000006,1.6888888888888889,0.7,False,0.251,1.4841,False
30.0,0.44000000000000006,1.6888888888888889,0.7777777777777777,True,1.1547,0.232,False
30.0,0.44000000000000006,1.6888888888888889,0.8555555555555555,False,0.0876,2.0655,False
30.0,0.44000000000000006,1.6888888888888889,0.9333333333333333,False,0.1109,2.2993,False
30.0,0.44000000000000006,1.6888888888888889,1.011111111111111,False,0.1255,1.717,False
30.0,0.44000000000000006,1.6888888888888889,1.0888888888888888,False,0.0879,2.8064,False
30.0,0.44000000000000006,1.6888888888888889,1.1666666666666665,False,0.0653,2.8332,False
30.0,0.44000000000000006,1.6888888888888889,1.2444444444444445,False,0.3097,0.8702,False
30.0,0.44000000000000006,1.6888888888888889,1.3222222222222222,False,0.1406,1.2523,False
30.0,0.44000000000000006,1.6888888888888889,1.4,False,0.3848,0.8474,False
30.0,0.44000000000000006,1.8,0.7,False,0.0521,4.8988,False
30.0,0.44000000000000006,1.8,0.7777777777777777,False,0.3077,1.0353,False
30.0,0.44000000000000006,1.8,0.8555555555555555,False,0.1365,2.2212,False
30.0,0.44000000000000006,1.8,0.9333333333333333,False,0.2444,0.6462,False
30.0,0.44000000000000006,1.8,1.011111111111111,True,1.0401,0.2211,False
30.0,0.44000000000000006,1.8,1.0888888888888888,False,0.2411,0.7128,False
30.0,0.44000000000000006,1.8,1.1666666666666665,True,0.5797,0.5123,False
30.0,0.44000000000000006,1.8,1.2444444444444445,False,0.1167,1.9331,False
30.0,0.44000000000000006,1.8,1.3222222222222222,False,0.1459,1.22,False
30.0,0.44000000000000006,1.8,1.4,True,1.1681,0.2717,False
30.0,0.4456410256410257,0.8,0.7,False,0.0436,3.7845,False
30.0,0.4456410256410257,0.8,0.7777777777777777,False,0.0908,1.8845,False
30.0,0.4456410256410257,0.8,0.8555555555555555,False,0.0589,3.0672,False
30.0,0.4456410256410257,0.8,0.9333333333333333,False,0.1611,0.8464,False
30.0,0.4456410256410257,0.8,1.011111111111111,False,0.4299,0.7755,False
30.0,0.4456410256410257,0.8,1.0888888888888888,False,0.1876,0.8472,False
30.0,0.4456410256410257,0.8,1.1666666666666665,False,0.4614,0.6116,False
30.0,0.4456410256410257,0.8,1.2444444444444445,False,0.0831,2.1384,False
30.0,0.4456410256410257,0.8,1.3222222222222222,False,0.1168,1.5225,False
30.0,0.4456410256410257,0.8,1.4,False,0.0147,11.5985,False
30.0,0.4456410256410257,0.9111111111111112,0.7,True,1.0367,0.2007,False
30.0,0.4456410256410257,0.9111111111111112,0.7777777777777777,False,0.1974,0.6967,False
30.0,0.4456410256410257,0.9111111111111112,0.8555555555555555,True,0.6441,0.6087,False
30.0,0.4456410256410257,0.9111111111111112,0.9333333333333333,False,0.1909,0.85,False
30.0,0.4456410256410257,0.9111111111111112,1.011111111111111,False,0.076,2.4952,False
30.0,0.4456410256410257,0.9111111111111112,1.0888888888888888,False,0.215,0.8568,False
30.0,0.4456410256410257,0.9111111111111112,1.1666666666666665,False,0.0676,2.4231,False
30.0,0.4456410256410257,0.9111111111111112,1.2444444444444445,True,0.859,0.4097,False
30.0,0.4456410256410257,0.9111111111111112,1.3222222222222222,True,1.2567,0.26,False
30.0,0.4456410256410257,0.9111111111111112,1.4,True,1.1407,0.2311,False
30.0,0.4456410256410257,1.0222222222222221,0.7,False,0.0947,1.7354,False
30.0,0.4456410256410257,1.0222222222222221,0.7777777777777777,False,0.1226,2.0272,False
30.0,0.4456410256410257,1.0222222222222221,0.8555555555555555,False,0.1665,1.5415,False
30.0,0.4456410256410257,1.0222222222222221,0.9333333333333333,False,0.0778,2.5959,False
30.0,0.4456410256410257,1.0222222222222221,1.011111111111111,True,0.9185,0.2939,False
30.0,0.4456410256410257,1.0222222222222221,1.0888888888888888,False,0.3508,1.0392,False
