Amplitude_Deg,Frequency_Hz,Start_Amp_Mult,Start_Freq_Mult,Fell,Distance_Traversed,CoT,Passed,Avg_Velocity
30.0,0.44000000000000006,1.1333333333333333,1.0888888888888888,False,0.6201,0.3501,False,0.031004999999999998
30.0,0.4456410256410257,1.5777777777777777,0.8555555555555555,False,0.6311,0.5545,False,0.031555
30.0,0.45128205128205134,1.6888888888888889,0.8555555555555555,False,0.8117,0.3866,False,0.040584999999999996
30.0,0.456923076923077,1.8,1.3222222222222222,False,1.0439,0.4933,False,0.052195000000000005
30.0,0.46256410256410263,1.1333333333333333,0.8555555555555555,False,0.854,0.5329,False,0.0427
30.0,0.4682051282051283,0.9111111111111112,0.7,False,1.1631,0.4897,False,0.058155
30.0,0.4738461538461539,1.3555555555555556,1.4,False,1.2914,0.4925,False,0.06457
30.0,0.47948717948717956,1.3555555555555556,1.0888888888888888,False,1.3924,0.5674,False,0.06962
30.0,0.4851282051282052,1.3555555555555556,0.8555555555555555,False,0.8404,0.5055,False,0.04202
30.0,0.49076923076923085,1.3555555555555556,1.3222222222222222,False,0.9905,0.3747,False,0.049525
30.0,0.4964102564102565,1.4666666666666668,1.1666666666666665,False,0.6357,0.5691,False,0.031785
30.0,0.5020512820512821,1.8,1.3222222222222222,False,0.9158,0.7857,False,0.04579
30.0,0.5076923076923078,1.8,1.3222222222222222,False,1.9356,0.3308,False,0.09678
30.0,0.5133333333333334,1.2444444444444445,0.7777777777777777,False,1.1434,0.4365,False,0.05717
30.0,0.5189743589743591,1.5777777777777777,0.8555555555555555,False,1.1378,0.5726,False,0.056889999999999996
30.0,0.5246153846153847,1.1333333333333333,1.4,False,1.4636,0.368,False,0.07318
30.0,0.5302564102564103,1.1333333333333333,1.011111111111111,False,1.0404,0.5908,False,0.05202
30.0,0.535897435897436,1.3555555555555556,0.9333333333333333,False,1.6255,0.4084,False,0.081275
30.0,0.5415384615384616,1.4666666666666668,1.1666666666666665,False,1.4375,0.4114,False,0.071875
30.0,0.5471794871794873,1.8,1.1666666666666665,False,2.0604,0.4036,True,0.10302
30.0,0.5528205128205128,1.0222222222222221,1.4,False,1.5061,0.3132,False,0.075305
30.0,0.5584615384615386,1.3555555555555556,0.8555555555555555,False,1.2852,0.4123,False,0.06426
30.0,0.5641025641025641,1.2444444444444445,1.1666666666666665,False,1.7282,0.2885,False,0.08641
30.0,0.5697435897435899,1.3555555555555556,1.0888888888888888,False,1.8189,0.2438,False,0.090945
30.0,0.5753846153846154,0.8,1.011111111111111,False,1.9466,0.2725,False,0.09733
30.0,0.5810256410256411,0.8,1.1666666666666665,False,0.6499,0.514,False,0.032495
30.0,0.5866666666666667,1.5777777777777777,1.0888888888888888,False,1.0403,0.5459,False,0.052015
30.0,0.5923076923076923,1.2444444444444445,1.1666666666666665,False,0.7245,0.3873,False,0.036225
30.0,0.597948717948718,0.9111111111111112,1.0888888888888888,False,0.7856,0.2915,False,0.039279999999999995
30.0,0.6035897435897436,1.3555555555555556,0.9333333333333333,False,1.1163,0.4436,False,0.055815000000000003
30.0,0.6092307692307692,1.3555555555555556,0.9333333333333333,False,1.5936,0.3742,False,0.07968
30.0,0.6148717948717949,1.6888888888888889,1.2444444444444445,False,0.8985,0.3252,False,0.044925
30.0,0.6205128205128205,1.1333333333333333,1.0888888888888888,False,0.6749,0.3719,False,0.033745000000000004
30.0,0.6261538461538462,1.5777777777777777,0.7,False,0.7106,0.8072,False,0.03553
30.0,0.6317948717948718,1.8,1.011111111111111,False,0.8607,0.3354,False,0.043035000000000004
30.0,0.6374358974358975,1.4666666666666668,0.7777777777777777,False,0.6826,0.7791,False,0.03413
30.0,0.6430769230769231,1.6888888888888889,1.011111111111111,False,1.023,0.4326,False,0.051149999999999994
30.0,0.6487179487179487,1.1333333333333333,1.0888888888888888,False,0.7647,0.3155,False,0.038235000000000005
30.0,0.6543589743589744,1.4666666666666668,1.2444444444444445,False,0.7238,0.4914,False,0.03619
30.0,0.66,1.3555555555555556,1.1666666666666665,False,0.7096,0.3191,False,0.03548
30.384615384615383,0.44000000000000006,1.4666666666666668,1.3222222222222222,False,1.5038,0.364,False,0.07519
30.384615384615383,0.4456410256410257,1.0222222222222221,1.2444444444444445,False,1.1124,0.3648,False,0.05562
30.384615384615383,0.45128205128205134,1.1333333333333333,1.011111111111111,False,0.9751,0.3031,False,0.048755
30.384615384615383,0.456923076923077,1.0222222222222221,1.1666666666666665,False,1.6176,0.3653,False,0.08088
30.384615384615383,0.46256410256410263,1.0222222222222221,1.1666666666666665,False,1.0509,0.5647,False,0.052544999999999994
30.384615384615383,0.4682051282051283,1.5777777777777777,1.2444444444444445,False,1.0624,0.3523,False,0.05312
30.384615384615383,0.4738461538461539,1.5777777777777777,1.3222222222222222,False,0.9713,0.3864,False,0.048565000000000004
30.384615384615383,0.47948717948717956,1.6888888888888889,1.2444444444444445,False,0.9828,0.4438,False,0.04914
30.384615384615383,0.4851282051282052,1.2444444444444445,1.4,False,1.0986,0.6977,False,0.05493
30.384615384615383,0.49076923076923085,1.6888888888888889,1.4,False,1.0934,0.4001,False,0.054669999999999996
30.384615384615383,0.4964102564102565,1.4666666666666668,0.8555555555555555,False,0.8159,0.5037,False,0.040795
30.384615384615383,0.5020512820512821,1.0222222222222221,1.0888888888888888,False,0.8178,0.6876,False,0.040889999999999996
30.384615384615383,0.5076923076923078,1.4666666666666668,1.2444444444444445,False,1.3291,0.532,False,0.066455
30.384615384615383,0.5133333333333334,0.9111111111111112,0.9333333333333333,False,0.9792,0.4622,False,0.04896
30.384615384615383,0.5189743589743591,1.3555555555555556,1.1666666666666665,False,1.1913,0.7392,False,0.059565
