Foot_Scale,Wait_For_Settle,Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT,Settle_Time_S,Passed
y5pct,True,0.0099,-0.0184,26.71,6.76,1.461,1.244,20.17,0.683,False,0.0775,2.4979,0.3,False
y5pct,False,0.0099,-0.0184,26.71,6.76,1.461,1.244,20.17,0.683,False,0.1062,1.7551,0.0,False
y5pct,True,-0.0584,0.0018,39.93,6.49,1.597,1.226,38.39,0.428,True,1.1345,0.4096,0.3,False
y5pct,False,-0.0584,0.0018,39.93,6.49,1.597,1.226,38.39,0.428,True,0.8965,0.4187,0.0,False
y5pct,True,-0.0344,0.0069,30.2,7.69,1.272,1.322,28.44,0.721,False,0.2275,5.5333,0.3,False
y5pct,False,-0.0344,0.0069,30.2,7.69,1.272,1.322,28.44,0.721,False,0.2422,5.3373,0.0,False
y5pct,True,-0.0423,-0.0009,34.42,14.4,0.815,0.907,22.98,0.478,False,1.392,0.7278,0.3,False
y5pct,False,-0.0423,-0.0009,34.42,14.4,0.815,0.907,22.98,0.478,False,1.3875,0.7155,0.0,False
y5pct,True,-0.0655,0.0098,25.34,4.04,1.728,0.837,25.33,0.601,False,0.477,1.7082,0.3,False
y5pct,False,-0.0655,0.0098,25.34,4.04,1.728,0.837,25.33,0.601,False,0.397,1.8354,0.0,False
y5pct,True,-0.0047,-0.0144,21.72,12.37,1.189,1.141,29.76,0.405,False,0.3609,2.0171,0.3,False
y5pct,False,-0.0047,-0.0144,21.72,12.37,1.189,1.141,29.76,0.405,False,0.3912,1.8339,0.0,False
y5pct,True,-0.0253,-0.009,35.97,9.13,1.641,0.709,24.47,0.549,False,0.2388,4.5157,0.3,False
y5pct,False,-0.0253,-0.009,35.97,9.13,1.641,0.709,24.47,0.549,False,0.4467,2.4606,0.0,False
y5pct,True,-0.0595,-0.0053,27.99,4.71,0.943,1.08,36.31,0.789,False,0.225,8.2884,0.3,False
y5pct,False,-0.0595,-0.0053,27.99,4.71,0.943,1.08,36.31,0.789,False,0.3238,5.7824,0.0,False
y5pct,True,-0.0102,-0.0112,20.66,3.04,1.14,0.889,32.28,0.672,False,0.0729,4.0603,0.3,False
y5pct,False,-0.0102,-0.0112,20.66,3.04,1.14,0.889,32.28,0.672,False,0.0634,4.7303,0.0,False
y5pct,True,-0.0157,0.0007,24.07,13.58,1.767,1.368,22.28,0.62,False,0.3316,2.4557,0.3,False
y5pct,False,-0.0157,0.0007,24.07,13.58,1.767,1.368,22.28,0.62,False,0.2166,3.8137,0.0,False
y5pct,True,0.0241,0.0047,42.93,10.67,1.346,1.052,33.16,0.751,False,0.2809,1.8578,0.3,False
y5pct,False,0.0241,0.0047,42.93,10.67,1.346,1.052,33.16,0.751,False,0.2538,2.1135,0.0,False
y5pct,True,0.0155,-0.0102,36.91,5.7,1.018,1.168,31.59,0.462,False,0.0419,16.36,0.3,False
y5pct,False,0.0155,-0.0102,36.91,5.7,1.018,1.168,31.59,0.462,False,0.2893,2.3719,0.0,False
