Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT,Avg_Velocity,Passed
-0.0304,0.0029,30.33,13.81,1.624,0.769,34.45,0.562,True,0.4476,0.3268,0.2991664498169559,False
0.0047,-0.0167,21.23,10.6,1.671,1.279,30.67,0.575,True,0.5051,0.9211,0.02972057076351676,False
-0.0688,0.008,39.35,11.22,1.122,0.77,38.61,0.488,True,1.2326,1.4273,0.07902420971625518,False
-0.025,-0.0078,22.39,12.35,1.323,1.372,38.22,0.623,True,1.0329,0.8699,0.09175048455284918,False
-0.0203,0.0017,23.83,12.57,1.54,0.983,24.5,0.476,False,0.0311,15.5669,0.0015572659568227065,False
0.0149,-0.0147,41.86,11.97,1.555,1.19,28.09,0.756,True,0.674,0.5795,0.11439993278141554,False
-0.0683,-0.0113,31.94,9.63,1.475,1.269,30.27,0.595,True,0.4729,4.2857,0.02438612604521182,False
0.0172,0.0009,44.12,13.09,1.397,1.202,26.95,0.696,False,0.348,1.0503,0.01740077566757678,False
0.0046,0.0002,39.27,7.31,1.062,0.866,26.3,0.797,False,0.1874,1.6706,0.009367893127687366,False
0.0242,-0.0114,43.89,6.58,1.767,1.294,26.36,0.79,True,1.7145,0.3682,0.29157489423679644,False
-0.0609,0.0014,32.93,10.69,1.665,1.208,39.01,0.528,True,0.4507,0.3775,0.34453374645065254,False
-0.024,-0.0105,23.72,10.94,1.433,1.237,31.83,0.436,False,0.1817,3.7655,0.009086928802407163,False
-0.0286,-0.0186,39.85,4.51,1.431,1.103,22.36,0.441,False,0.2041,3.4173,0.010205258603412311,False
-0.0429,-0.0165,25.86,7.26,1.797,1.268,36.9,0.532,True,0.5261,0.5244,0.5335390191509513,False
0.0176,-0.0148,20.57,4.07,1.439,1.252,27.63,0.46,False,0.0663,1.85,0.003315411306127337,False
-0.057,0.0093,29.67,10.75,1.667,1.16,21.04,0.763,False,0.2085,5.0859,0.010423363168957589,False
-0.0468,-0.0157,24.12,10.66,1.287,0.995,31.03,0.668,True,1.113,0.2222,0.4793100580461845,False
-0.0592,-0.0002,38.18,8.06,1.12,0.864,39.61,0.436,True,0.9736,0.5198,0.2335943824125483,False
-0.0118,-0.0151,42.44,11.01,1.364,0.776,33.15,0.728,True,0.6407,0.6585,0.12412302870941705,False
-0.0627,-0.0183,41.27,14.53,1.217,1.161,33.88,0.473,True,0.2201,0.679,0.20269483093820637,False
-0.0172,0.0022,33.35,3.04,1.518,1.095,37.07,0.509,False,0.0754,10.2006,0.0037711898550298107,False
0.0038,-0.0044,35.15,13.64,1.57,0.92,34.27,0.795,False,0.2061,2.6784,0.010302803809825269,False
-0.0544,-0.0112,20.8,3.99,1.107,0.835,32.2,0.627,False,0.3053,1.7561,0.015264750110941928,False
-0.0698,-0.0071,35.72,7.05,1.418,0.876,22.59,0.721,False,0.077,13.943,0.003848396402669521,False
0.0084,0.0076,43.51,2.78,1.086,1.31,33.51,0.653,False,0.354,1.2422,0.017698090933141165,False
-0.0201,0.005,34.6,6.11,1.438,1.398,28.26,0.725,False,0.1655,3.4342,0.008276113772253655,False
-0.0424,-0.0043,23.07,3.74,1.791,0.737,21.85,0.723,False,0.1503,1.2185,0.007513555954620879,False
-0.0055,-0.0182,39.14,10.0,1.457,0.832,26.2,0.547,True,0.7227,0.4236,0.14907881972951303,False
-0.0522,-0.0134,25.8,12.11,1.304,0.912,20.48,0.677,False,0.1239,6.0234,0.006196957649453877,False
-0.0563,0.0076,30.72,4.89,0.954,0.732,38.68,0.789,False,0.3661,4.185,0.018306052772914794,False
-0.0604,-0.0172,43.21,3.38,1.281,1.315,26.15,0.589,True,0.2853,3.8054,0.030173557687061266,False
-0.0457,-0.0046,24.53,2.2,1.07,0.797,32.25,0.65,False,0.2249,2.0431,0.011246004127131164,False
-0.0657,-0.0023,42.24,2.32,0.855,0.987,22.48,0.779,False,0.0863,10.79,0.004314642239821809,False
-0.0389,0.0047,23.19,8.29,1.552,0.906,37.59,0.77,False,0.248,5.2764,0.01239852307952708,False
0.0187,0.0021,34.42,6.24,1.218,0.949,34.65,0.544,False,0.2938,1.0517,0.014689229474853717,False
0.0244,0.0015,22.59,10.84,1.066,0.852,28.87,0.736,False,0.451,0.5813,0.022549668635067372,False
