Wait_For_Settle,Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT,Settle_Time_S,Passed
True,-0.0304,0.0029,30.33,13.81,1.624,0.769,34.45,0.562,True,0.451,0.3362,9.474,False
False,-0.0304,0.0029,30.33,13.81,1.624,0.769,34.45,0.562,True,0.5334,0.3147,0.0,False
True,0.0047,-0.0167,21.23,10.6,1.671,1.279,30.67,0.575,True,0.6135,0.3335,25.0,False
False,0.0047,-0.0167,21.23,10.6,1.671,1.279,30.67,0.575,False,0.2123,2.6429,0.0,False
True,-0.0688,0.008,39.35,11.22,1.122,0.77,38.61,0.488,True,0.6123,1.278,2.998,False
False,-0.0688,0.008,39.35,11.22,1.122,0.77,38.61,0.488,True,0.5147,2.8676,0.0,False
True,-0.025,-0.0078,22.39,12.35,1.323,1.372,38.22,0.623,True,0.9248,0.8892,12.23,False
False,-0.025,-0.0078,22.39,12.35,1.323,1.372,38.22,0.623,True,0.9929,0.5725,0.0,False
True,-0.0203,0.0017,23.83,12.57,1.54,0.983,24.5,0.476,False,0.2574,1.7297,9.378,False
False,-0.0203,0.0017,23.83,12.57,1.54,0.983,24.5,0.476,False,0.1897,2.6974,0.0,False
True,0.0149,-0.0147,41.86,11.97,1.555,1.19,28.09,0.756,True,1.1028,0.4402,16.94,False
False,0.0149,-0.0147,41.86,11.97,1.555,1.19,28.09,0.756,True,0.9287,0.451,0.0,False
True,-0.0683,-0.0113,31.94,9.63,1.475,1.269,30.27,0.595,True,1.2234,1.6971,12.806,False
False,-0.0683,-0.0113,31.94,9.63,1.475,1.269,30.27,0.595,True,0.6184,1.3551,0.0,False
True,0.0172,0.0009,44.12,13.09,1.397,1.202,26.95,0.696,False,0.3623,0.8575,11.854,False
False,0.0172,0.0009,44.12,13.09,1.397,1.202,26.95,0.696,False,0.1961,2.0179,0.0,False
True,0.0046,0.0002,39.27,7.31,1.062,0.866,26.3,0.797,False,0.0833,4.2923,5.328,False
False,0.0046,0.0002,39.27,7.31,1.062,0.866,26.3,0.797,False,0.0861,3.014,0.0,False
True,0.0242,-0.0114,43.89,6.58,1.767,1.294,26.36,0.79,True,1.3942,0.4633,18.274,False
False,0.0242,-0.0114,43.89,6.58,1.767,1.294,26.36,0.79,True,1.8617,0.3747,0.0,False
True,-0.0609,0.0014,32.93,10.69,1.665,1.208,39.01,0.528,True,1.2675,1.0177,10.262,False
False,-0.0609,0.0014,32.93,10.69,1.665,1.208,39.01,0.528,True,0.3875,0.558,0.0,False
True,-0.024,-0.0105,23.72,10.94,1.433,1.237,31.83,0.436,False,0.1195,5.5464,13.826,False
False,-0.024,-0.0105,23.72,10.94,1.433,1.237,31.83,0.436,False,0.254,3.1739,0.0,False
True,-0.0286,-0.0186,39.85,4.51,1.431,1.103,22.36,0.441,False,0.5838,1.3556,21.922,False
False,-0.0286,-0.0186,39.85,4.51,1.431,1.103,22.36,0.441,False,0.3237,2.3935,0.0,False
True,-0.0429,-0.0165,25.86,7.26,1.797,1.268,36.9,0.532,True,0.2628,1.6165,16.574,False
False,-0.0429,-0.0165,25.86,7.26,1.797,1.268,36.9,0.532,True,0.5205,0.2943,0.0,False
True,0.0176,-0.0148,20.57,4.07,1.439,1.252,27.63,0.46,False,0.0292,3.5067,19.934,False
False,0.0176,-0.0148,20.57,4.07,1.439,1.252,27.63,0.46,True,0.5862,0.1918,0.0,False
True,-0.057,0.0093,29.67,10.75,1.667,1.16,21.04,0.763,False,0.1278,7.8956,2.998,False
False,-0.057,0.0093,29.67,10.75,1.667,1.16,21.04,0.763,False,0.1888,5.4349,0.0,False
True,-0.0468,-0.0157,24.12,10.66,1.287,0.995,31.03,0.668,True,0.5532,0.7606,16.418,False
False,-0.0468,-0.0157,24.12,10.66,1.287,0.995,31.03,0.668,True,0.3298,3.6651,0.0,False
True,-0.0592,-0.0002,38.18,8.06,1.12,0.864,39.61,0.436,True,0.6509,0.8422,11.088,False
False,-0.0592,-0.0002,38.18,8.06,1.12,0.864,39.61,0.436,True,0.4518,2.4644,0.0,False
True,-0.0118,-0.0151,42.44,11.01,1.364,0.776,33.15,0.728,True,1.2796,0.5945,15.788,False
False,-0.0118,-0.0151,42.44,11.01,1.364,0.776,33.15,0.728,True,1.0518,0.5113,0.0,False
True,-0.0627,-0.0183,41.27,14.53,1.217,1.161,33.88,0.473,True,0.4886,1.7528,16.148,False
False,-0.0627,-0.0183,41.27,14.53,1.217,1.161,33.88,0.473,True,0.7889,0.8921,0.0,False
True,-0.0172,0.0022,33.35,3.04,1.518,1.095,37.07,0.509,False,0.0861,10.1344,11.668,False
False,-0.0172,0.0022,33.35,3.04,1.518,1.095,37.07,0.509,False,0.2263,3.9685,0.0,False
True,0.0038,-0.0044,35.15,13.64,1.57,0.92,34.27,0.795,False,0.0234,22.5411,12.35,False
False,0.0038,-0.0044,35.15,13.64,1.57,0.92,34.27,0.795,False,0.1254,4.4745,0.0,False
True,-0.0544,-0.0112,20.8,3.99,1.107,0.835,32.2,0.627,False,0.109,4.4492,12.334,False
False,-0.0544,-0.0112,20.8,3.99,1.107,0.835,32.2,0.627,False,0.2449,1.9625,0.0,False
True,-0.0698,-0.0071,35.72,7.05,1.418,0.876,22.59,0.721,False,0.201,5.1297,13.98,False
False,-0.0698,-0.0071,35.72,7.05,1.418,0.876,22.59,0.721,False,0.3058,3.5249,0.0,False
True,0.0084,0.0076,43.51,2.78,1.086,1.31,33.51,0.653,False,0.2544,1.6313,2.998,False
False,0.0084,0.0076,43.51,2.78,1.086,1.31,33.51,0.653,False,0.3141,1.3445,0.0,False
True,-0.0201,0.005,34.6,6.11,1.438,1.398,28.26,0.725,False,0.0632,8.065,9.378,False
False,-0.0201,0.005,34.6,6.11,1.438,1.398,28.26,0.725,False,0.1548,3.39,0.0,False
True,-0.0424,-0.0043,23.07,3.74,1.791,0.737,21.85,0.723,False,0.0402,5.1431,11.986,False
False,-0.0424,-0.0043,23.07,3.74,1.791,0.737,21.85,0.723,False,0.1565,1.403,0.0,False
True,-0.0055,-0.0182,39.14,10.0,1.457,0.832,26.2,0.547,True,1.2916,0.4697,17.226,False
False,-0.0055,-0.0182,39.14,10.0,1.457,0.832,26.2,0.547,True,0.9402,0.2148,0.0,False
True,-0.0522,-0.0134,25.8,12.11,1.304,0.912,20.48,0.677,False,0.1543,4.9275,14.694,False
False,-0.0522,-0.0134,25.8,12.11,1.304,0.912,20.48,0.677,False,0.3171,2.4296,0.0,False
True,-0.0563,0.0076,30.72,4.89,0.954,0.732,38.68,0.789,False,0.3056,5.0301,2.998,False
False,-0.0563,0.0076,30.72,4.89,0.954,0.732,38.68,0.789,False,0.343,4.4489,0.0,False
True,-0.0604,-0.0172,43.21,3.38,1.281,1.315,26.15,0.589,True,0.3851,1.4152,13.606,False
False,-0.0604,-0.0172,43.21,3.38,1.281,1.315,26.15,0.589,True,0.4326,1.6352,0.0,False
True,-0.0457,-0.0046,24.53,2.2,1.07,0.797,32.25,0.65,False,0.0627,7.4721,12.146,False
False,-0.0457,-0.0046,24.53,2.2,1.07,0.797,32.25,0.65,False,0.115,4.4333,0.0,False
True,-0.0657,-0.0023,42.24,2.32,0.855,0.987,22.48,0.779,False,0.1429,5.7393,13.33,False
False,-0.0657,-0.0023,42.24,2.32,0.855,0.987,22.48,0.779,False,0.3023,2.9542,0.0,False
