Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT
-0.0678,0.0086,41.41,3.12,1.074,0.998,25.5,0.648,True,2.0159,0.2923
-0.0506,-0.02,40.49,5.83,0.951,1.046,32.61,0.402,True,2.7846,0.7816
-0.0636,-0.0161,26.03,13.38,1.618,1.257,27.74,0.502,False,2.3898,0.638
-0.0698,-0.0131,36.51,13.27,1.165,0.979,32.17,0.466,False,2.5067,0.9488
-0.0547,-0.0053,26.3,13.2,0.993,1.02,33.96,0.485,False,2.1184,0.9313
-0.0262,0.0036,41.02,14.82,0.924,1.39,35.34,0.407,False,2.2165,0.8782
-0.0649,-0.0187,27.65,8.21,1.486,1.203,29.38,0.434,False,2.4087,0.5034
-0.0597,-0.0035,35.23,7.87,1.286,1.126,35.27,0.483,False,2.1745,1.1403
-0.0599,-0.0192,44.32,7.15,1.717,1.123,24.27,0.421,False,2.8723,0.5554
-0.059,-0.0082,24.94,8.92,1.523,1.034,37.36,0.427,False,2.315,0.712
-0.046,-0.0145,44.47,13.99,1.298,1.205,25.85,0.433,False,2.863,0.5893
-0.0579,-0.006,27.8,14.67,0.999,1.348,32.99,0.515,False,2.6959,0.8453
-0.0687,0.0043,41.51,12.63,0.937,0.819,29.78,0.452,False,2.0355,1.0174
-0.0509,-0.0058,36.09,9.77,1.377,0.749,30.3,0.432,False,2.3428,0.7061
-0.045,0.0048,42.02,6.95,1.083,0.877,28.49,0.445,False,2.2733,0.8117
