Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT
-0.0474,0.0096,25.3,14.79,1.597,0.874,31.05,0.419,False,2.2572,0.5289
-0.0499,-0.0029,35.48,8.11,1.379,0.999,28.34,0.458,False,2.17,0.5915
-0.0262,0.0036,41.02,14.82,0.924,1.39,35.34,0.407,True,2.1541,0.3773
-0.0599,-0.0192,44.32,7.15,1.717,1.123,24.27,0.421,False,2.2729,0.6247
-0.059,-0.0082,24.94,8.92,1.523,1.034,37.36,0.427,False,2.6442,0.5676
-0.046,-0.0145,44.47,13.99,1.298,1.205,25.85,0.433,False,2.2954,0.6176
-0.0579,-0.006,27.8,14.67,0.999,1.348,32.99,0.515,False,2.3365,0.8196
-0.0687,0.0043,41.51,12.63,0.937,0.819,29.78,0.452,False,2.1416,0.8142
-0.0509,-0.0058,36.09,9.77,1.377,0.749,30.3,0.432,False,2.3593,0.6064
-0.045,0.0048,42.02,6.95,1.083,0.877,28.49,0.445,False,2.1487,0.7218
-0.0372,-0.0107,37.89,5.81,1.209,0.903,35.05,0.402,False,2.4666,0.7309
