Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT
-0.0614,-0.0087,32.45,9.17,1.436,0.81,33.81,0.58,True,0.7237,0.589
-0.0602,-0.0116,32.02,13.07,0.894,1.26,31.73,0.434,True,0.858,0.2765
-0.0455,-0.0038,36.78,13.39,1.615,0.759,30.24,0.79,False,1.1609,2.0041
-0.0525,-0.0196,33.24,5.24,1.711,0.839,23.16,0.481,False,0.2968,2.3768
0.018,-0.0026,21.06,3.92,1.662,1.293,23.43,0.531,False,0.1022,0.456
0.017,-0.0005,20.68,14.54,1.566,0.955,20.48,0.694,False,0.2292,1.2403
-0.0039,0.0016,24.13,9.69,1.602,0.981,23.04,0.429,False,0.2679,0.8785
-0.018,-0.0176,44.77,7.59,0.906,1.283,22.3,0.545,True,0.7737,0.6644
0.0095,0.0019,29.22,7.87,1.705,0.873,20.4,0.661,False,0.1323,1.1818
-0.0322,-0.0149,39.1,2.21,0.97,0.775,20.14,0.737,False,0.1017,3.0824
-0.0549,0.0084,26.0,6.87,1.535,1.034,27.16,0.507,False,0.4766,1.6302
-0.059,0.0071,30.53,5.3,1.645,1.043,39.33,0.684,False,4.4553,0.7382
-0.0187,-0.0161,22.06,5.01,1.25,1.268,26.97,0.455,False,0.2173,1.1941
-0.0357,-0.0056,43.46,10.15,0.911,1.082,25.76,0.545,False,0.151,9.4441
-0.0368,-0.0125,39.44,9.37,0.895,1.328,35.37,0.799,True,0.7841,0.4739
0.0154,0.0072,41.49,10.51,1.063,0.996,24.13,0.647,False,0.1997,1.9136
-0.0156,-0.0077,44.85,8.2,1.58,1.166,25.73,0.714,False,0.2956,3.1252
0.0033,0.0059,35.84,9.56,1.341,0.827,27.85,0.65,False,0.3679,1.4976
-0.0123,0.0054,35.72,12.11,1.637,1.154,34.22,0.705,False,0.1991,5.1459
-0.0375,-0.0143,28.67,12.14,1.159,1.393,30.06,0.504,True,0.6389,0.4039
-0.0311,-0.0023,39.71,11.01,1.054,0.899,25.99,0.727,False,0.1246,10.1558
0.0077,-0.0126,36.36,7.75,1.527,1.213,35.53,0.456,False,0.275,2.5096
-0.0552,-0.0051,22.62,11.68,1.671,1.222,32.93,0.538,False,0.4888,3.1961
-0.0017,-0.016,22.3,2.37,1.214,0.933,32.6,0.473,False,0.2316,0.966
0.0024,-0.0063,27.39,11.18,1.394,0.882,35.27,0.498,False,0.3122,2.3469
0.0038,-0.0048,44.55,9.09,0.805,1.078,35.45,0.696,False,0.1931,3.2163
-0.0422,0.0008,36.56,6.32,1.474,1.147,36.1,0.799,False,0.2719,5.7626
-0.0581,-0.0141,35.85,10.75,1.526,1.289,23.08,0.684,False,0.3846,3.6025
-0.0431,-0.0062,34.72,11.44,1.767,1.084,21.58,0.488,False,0.224,3.2866
-0.0108,0.0065,29.12,14.97,1.044,1.051,26.71,0.735,False,0.0666,13.3463
0.0066,-0.0123,33.48,13.6,0.95,1.378,26.51,0.422,False,0.1189,3.5018
-0.0106,0.0081,43.08,10.23,1.444,1.391,30.85,0.564,False,0.2869,3.9808
-0.0466,0.0033,44.39,4.03,1.077,1.12,26.89,0.683,False,2.366,0.7854
-0.03,0.0049,37.52,4.11,1.267,1.024,39.16,0.477,True,0.2432,0.7692
-0.042,-0.0042,41.44,12.81,1.26,0.854,33.32,0.661,True,0.3199,5.6262
0.0083,-0.0157,41.36,13.29,1.187,1.031,28.01,0.64,True,0.5615,0.3799
-0.0667,0.0045,30.29,8.88,1.424,0.802,20.02,0.533,False,0.4029,1.563
0.0235,-0.0093,40.01,4.72,1.514,0.722,31.17,0.761,True,0.302,2.4648
-0.0693,-0.0016,35.16,9.86,1.198,0.786,26.95,0.485,True,0.8117,0.3008
-0.0034,-0.013,26.12,14.24,1.619,1.166,39.52,0.701,False,0.3558,2.9929
-0.0002,0.0083,25.05,6.02,1.128,1.315,32.66,0.774,False,0.1451,2.5921
-0.0482,0.0091,20.55,8.53,1.48,0.797,21.88,0.751,False,0.1585,3.7396
0.0019,-0.0039,24.34,6.76,1.216,0.836,38.47,0.745,False,0.097,5.2045
0.0042,0.0069,24.88,4.38,0.98,1.221,38.66,0.44,False,0.3271,1.2571
-0.0266,-0.0182,37.41,6.22,1.256,1.127,32.89,0.441,True,0.9267,0.2874
-0.019,-0.0165,39.27,3.89,1.631,0.88,26.67,0.524,True,0.4934,0.3314
-0.0398,0.0006,28.27,6.85,1.371,1.337,22.58,0.494,False,0.0784,5.4274
0.0248,-0.0163,27.48,2.34,0.87,1.103,21.04,0.433,True,0.78,0.005
-0.0535,-0.0195,34.01,9.03,0.81,1.384,23.15,0.583,True,0.6043,0.286
-0.0375,-0.0123,33.05,9.42,0.948,1.089,33.38,0.553,True,0.3657,0.7225
0.0015,-0.011,27.88,14.34,1.238,0.754,34.69,0.758,False,0.2505,3.1814
0.0136,0.0,39.69,5.82,1.61,0.942,29.03,0.621,False,0.1959,1.7425
-0.0153,0.0043,36.98,8.01,1.755,1.202,22.02,0.495,False,0.1714,2.3456
-0.0597,-0.0157,28.74,4.66,0.957,1.185,35.73,0.481,True,0.7521,0.2518
-0.0014,0.0019,38.34,6.72,0.848,1.13,27.03,0.679,False,0.088,4.5996
-0.0153,-0.0072,36.91,11.08,1.148,0.845,32.41,0.767,False,0.3525,3.0824
-0.0458,0.0093,27.24,6.1,1.786,0.823,36.49,0.673,False,0.2951,4.6193
-0.0381,-0.002,26.57,11.34,1.453,1.244,35.12,0.566,True,0.3613,1.5007
0.0117,-0.0085,26.08,5.75,1.486,1.1,33.8,0.735,False,0.1417,1.8115
-0.0515,0.0004,43.11,8.65,1.451,1.058,33.56,0.615,False,2.167,0.8246
-0.0668,-0.0126,41.53,11.78,1.038,0.803,34.26,0.476,True,0.8602,0.3008
-0.0608,-0.0039,33.5,5.44,0.959,0.788,32.15,0.406,True,0.7459,0.2282
-0.0393,-0.0111,20.22,3.56,0.99,1.208,32.97,0.431,False,0.613,0.744
-0.0168,-0.0055,21.94,6.58,1.381,1.171,23.46,0.409,False,0.0633,2.4379
0.0124,-0.018,26.54,3.7,1.633,1.236,22.84,0.417,True,0.7568,0.0019
0.0186,-0.017,21.01,5.1,1.091,1.021,26.59,0.746,True,0.7768,0.0115
-0.0146,-0.0094,22.41,14.74,1.265,1.197,33.04,0.585,True,0.5625,0.7691
-0.0569,-0.0136,26.96,13.23,0.984,1.189,35.98,0.571,True,0.5517,0.5666
-0.0233,-0.0007,26.78,10.7,1.306,1.346,33.88,0.787,False,0.1221,8.9863
-0.0027,-0.011,32.66,7.47,1.735,0.963,34.96,0.585,False,0.2753,2.9209
-0.0127,-0.0167,42.85,3.23,0.994,1.176,26.03,0.438,False,0.3074,2.5785
0.0114,-0.0041,33.59,12.78,1.056,1.307,21.26,0.561,False,0.0826,2.848
-0.0328,0.0096,35.5,7.5,1.41,1.001,23.61,0.796,False,0.1238,6.2691
-0.0102,-0.0188,22.99,6.57,1.593,1.23,20.33,0.645,True,0.7834,0.0252
-0.006,0.0096,38.38,7.43,1.65,0.878,29.05,0.719,False,0.2075,3.2966
-0.0177,-0.0171,24.74,3.19,1.157,1.368,29.62,0.587,False,0.2546,1.2063
-0.0684,0.0018,38.53,10.71,1.035,1.161,22.65,0.628,False,0.324,4.414
-0.0681,-0.0027,30.87,12.48,1.675,1.099,27.13,0.555,False,0.4924,3.1788
-0.0637,0.0056,21.38,11.04,1.523,0.858,24.5,0.699,False,0.7838,1.4169
-0.0394,0.0009,25.19,7.67,1.431,0.864,25.1,0.526,False,0.2271,2.4286
-0.0134,0.0065,26.32,9.47,1.651,1.172,33.65,0.695,False,0.1499,5.908
-0.0416,0.0065,25.68,11.75,0.973,0.771,35.62,0.577,True,0.7626,0.7328
-0.016,0.0098,25.25,11.93,1.285,1.203,28.05,0.756,False,0.143,6.0055
-0.0117,-0.0199,37.46,9.23,0.853,0.891,35.93,0.522,True,0.7441,0.0047
-0.0207,-0.0098,32.05,4.62,1.332,1.257,28.11,0.614,False,0.1306,4.0004
-0.0148,-0.0059,44.21,9.06,1.03,0.86,21.69,0.696,False,0.1481,3.9782
0.0157,-0.0172,26.81,4.14,0.848,1.044,35.79,0.448,True,0.774,0.0095
-0.0648,-0.0092,30.48,12.19,1.416,1.18,37.09,0.594,True,0.5827,0.9808
-0.0558,-0.0057,38.29,10.04,1.034,0.974,24.97,0.625,False,0.2303,6.5709
-0.0224,-0.0152,39.15,3.08,1.093,1.191,36.68,0.671,True,0.81,0.5342
-0.0564,-0.017,24.22,11.9,1.471,1.157,36.7,0.713,True,0.2447,2.0706
0.0037,-0.0004,22.28,13.73,1.303,0.875,37.28,0.648,False,0.3426,2.2193
-0.0361,-0.0054,37.1,6.19,1.177,0.793,22.44,0.449,False,0.2305,2.4888
0.0058,-0.0084,23.66,4.47,1.653,1.074,26.12,0.55,False,0.0842,1.4267
-0.0698,0.001,22.55,13.78,1.073,1.158,37.38,0.403,True,0.8266,0.2456
-0.0436,-0.0065,40.38,3.83,1.192,0.808,22.62,0.553,False,0.2048,3.2909
0.0127,-0.0054,31.26,14.56,1.798,1.085,34.35,0.593,False,0.052,13.233
-0.054,-0.0052,36.29,5.51,1.732,1.356,37.13,0.662,True,0.2115,7.3758
-0.0332,-0.0002,40.34,8.82,1.149,1.34,21.39,0.593,False,0.2009,3.8522
-0.024,-0.0128,32.54,14.99,1.321,1.291,25.87,0.547,True,0.7568,0.4047
-0.0133,-0.0019,27.83,3.43,0.842,1.112,23.82,0.692,False,0.0844,1.6407
-0.0635,-0.0103,40.29,6.99,1.763,1.347,37.68,0.718,True,0.2713,1.8405
-0.022,-0.0015,20.15,9.53,1.01,1.265,36.61,0.548,False,0.3737,2.5898
0.0048,0.0077,38.7,8.23,1.406,0.851,33.26,0.517,False,0.391,1.9731
-0.0309,-0.005,41.99,11.18,1.559,1.113,24.01,0.731,False,0.3181,3.6966
-0.011,0.0073,38.44,3.81,0.996,0.852,39.87,0.501,False,0.1477,7.8293
-0.0579,-0.019,38.94,2.51,1.413,0.765,33.1,0.548,True,0.2544,0.8766
-0.0295,-0.0108,35.09,7.63,1.31,0.85,29.21,0.4,False,0.346,2.5204
-0.0324,-0.019,43.63,12.14,1.498,1.123,37.05,0.667,True,0.7255,0.6258
-0.0501,-0.0047,21.22,3.87,1.448,1.087,30.61,0.499,False,0.2061,2.3666
-0.0037,0.0002,27.52,14.26,1.502,1.242,31.0,0.644,False,0.0572,14.3614
0.0023,-0.0014,36.03,12.64,1.78,0.925,31.65,0.42,False,0.2156,4.3612
0.0092,-0.0172,33.9,10.21,1.292,0.875,34.0,0.578,True,0.8487,0.0775
-0.0075,0.0061,41.13,8.3,1.699,1.075,27.5,0.697,False,0.229,3.2573
-0.0091,0.0072,38.48,13.95,1.476,1.092,30.18,0.621,False,0.07,14.6804
-0.0528,0.0079,37.26,9.39,1.669,0.801,34.01,0.599,False,0.6216,3.5708
-0.0513,-0.0038,29.27,2.43,1.416,1.139,23.22,0.491,False,0.3101,1.868
-0.0371,-0.0152,28.08,7.05,1.564,0.954,35.67,0.588,False,0.1041,12.4637
-0.0404,-0.0044,40.19,14.1,1.405,0.741,20.65,0.427,False,0.7635,0.962
-0.0205,-0.0105,36.31,5.37,1.79,1.215,20.69,0.419,False,0.1328,2.7112
0.021,0.0011,24.81,11.55,1.704,0.76,24.8,0.467,False,0.1096,2.0811
-0.0543,-0.0064,29.07,14.0,1.332,1.199,36.15,0.605,True,0.0821,16.6852
-0.0625,-0.0034,38.77,6.91,1.309,0.885,34.58,0.535,True,0.9561,0.4847
0.0027,-0.001,30.64,7.89,1.574,0.818,26.54,0.43,False,0.0693,4.7013
0.0171,-0.0061,38.82,2.0,1.34,1.319,21.62,0.652,False,0.1031,1.0711
0.0109,-0.0008,26.72,10.17,1.105,0.929,21.31,0.798,False,0.1473,1.4158
-0.0326,0.0053,23.07,13.36,1.365,0.842,35.13,0.527,False,0.5844,2.5997
-0.026,0.0034,39.87,3.06,1.606,0.822,32.53,0.478,True,0.6063,0.4578
-0.0065,-0.0132,29.54,7.7,0.896,1.062,34.14,0.517,True,0.2718,0.6623
-0.0618,-0.0114,41.07,7.8,1.275,1.31,38.15,0.519,True,0.4518,0.6554
-0.0555,-0.0182,29.72,10.92,1.376,1.098,28.79,0.721,True,0.2167,1.121
-0.0278,-0.0096,26.64,12.45,1.349,1.376,38.48,0.622,True,0.5089,0.9181
-0.0657,-0.007,25.0,9.99,1.189,1.24,34.89,0.429,True,0.7785,0.2894
-0.0058,-0.0134,34.25,4.94,1.473,0.727,21.45,0.775,False,0.0987,2.0565
0.0202,-0.0158,42.86,3.75,1.272,1.252,29.75,0.514,True,0.8384,0.0681
-0.032,-0.0178,21.5,2.29,0.945,1.104,23.98,0.613,False,0.2294,0.7434
-0.0494,-0.0122,27.64,6.67,0.839,0.913,22.1,0.578,False,0.14,3.6702
-0.0659,-0.0169,44.65,7.54,1.52,1.319,23.92,0.708,True,0.6367,0.5493
-0.0567,0.0062,31.51,8.77,1.419,1.009,38.04,0.779,False,0.5606,3.3775
