Mesh_X,Mesh_Y,Mesh_X_Index,Mesh_Y_Index,Pair_Index,Run_Index,Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT
0.702,0.87984,0,2,3,1,0.0071,-0.0125,21.9,8.9,1.429,1.232,35.47,0.413,False,0.2968,1.5019
0.702,0.87984,0,2,3,1,-0.0541,-0.0031,35.87,6.39,1.06,1.161,25.81,0.469,False,0.423,2.2665
0.702,0.87984,0,2,3,1,-0.0301,-0.0026,32.76,9.69,0.866,1.326,27.98,0.753,False,0.159,6.6035
0.702,0.87984,0,2,3,1,-0.0639,-0.0009,32.71,4.89,1.486,0.962,32.5,0.72,True,0.7508,0.5263
0.702,0.87984,0,2,3,1,-0.0409,-0.0097,26.06,5.3,1.219,1.24,36.33,0.675,False,0.1659,5.6279
0.702,0.87984,0,2,3,1,0.0026,-0.0079,23.37,5.19,1.462,1.066,30.64,0.563,False,0.0964,2.7265
0.702,0.87984,0,2,3,1,0.0068,-0.0081,30.16,4.46,1.37,0.937,32.77,0.681,False,0.1035,3.2122
0.702,0.87984,0,2,3,1,-0.0252,-0.0003,24.56,10.83,0.808,1.379,30.53,0.633,False,0.248,4.0145
0.702,0.87984,0,2,3,1,-0.0482,-0.0135,35.22,10.71,1.072,1.151,35.64,0.635,True,0.3324,0.9366
0.702,0.87984,0,2,3,1,0.0007,0.0045,29.83,2.01,1.045,0.853,33.69,0.536,False,0.0987,3.9889
0.702,0.87984,0,2,3,1,-0.0557,0.0028,24.79,6.09,1.226,0.927,31.8,0.453,True,0.8166,0.0953
0.702,0.87984,0,2,3,1,-0.0183,0.0076,23.67,9.16,0.986,1.305,39.13,0.501,True,0.8025,0.8526
0.702,0.87984,0,2,3,1,-0.0037,-0.0178,22.77,7.06,0.828,0.74,21.09,0.768,False,0.1381,1.1985
0.702,0.87984,0,2,3,1,0.0203,-0.0039,44.9,5.45,1.243,0.905,25.67,0.49,False,0.1377,2.8638
0.702,0.87984,0,2,3,1,-0.0171,0.0068,26.43,12.29,1.229,0.703,23.89,0.482,True,0.823,0.0822
0.702,0.87984,0,2,3,1,-0.0058,0.0092,29.21,3.04,1.526,1.292,36.71,0.733,False,0.0284,14.8906
0.702,0.87984,0,2,3,1,0.0028,-0.0066,23.11,8.18,0.839,0.975,34.94,0.433,False,0.086,5.1563
0.702,0.87984,0,2,3,1,-0.0351,-0.0166,27.06,2.73,0.854,0.977,26.26,0.774,False,0.1414,2.2719
0.702,0.87984,0,2,3,1,-0.0026,-0.014,28.37,5.59,1.709,1.376,33.67,0.523,False,0.1199,4.3835
0.702,0.87984,0,2,3,1,-0.0503,0.0025,25.58,4.33,1.501,1.148,39.88,0.591,True,0.7567,0.3427
0.702,0.87984,0,2,3,1,-0.0486,-0.0047,25.98,12.5,0.889,1.262,38.82,0.61,True,0.5636,1.9846
0.702,0.87984,0,2,3,1,0.0003,-0.0182,37.62,13.97,1.44,1.117,25.33,0.669,False,0.1202,5.5234
0.702,0.87984,0,2,3,1,0.0215,-0.0174,40.82,10.53,1.344,1.211,29.75,0.671,True,0.591,0.1209
0.702,0.87984,0,2,3,1,-0.0595,0.0013,22.4,13.67,1.324,1.331,21.44,0.414,True,0.983,0.143
0.702,0.87984,0,2,3,1,-0.0445,-0.0031,43.7,3.43,1.761,0.828,26.67,0.478,True,0.675,0.7295
0.702,0.87984,0,2,3,1,-0.0265,-0.0179,27.66,14.8,1.295,0.794,35.31,0.415,True,0.9136,0.312
0.702,0.87984,0,2,3,1,-0.0424,-0.0198,38.18,12.33,1.322,0.791,33.03,0.757,True,0.6658,0.1804
0.702,0.87984,0,2,3,1,0.004,-0.0196,25.4,3.66,1.742,1.177,35.72,0.707,True,0.7044,0.0838
0.702,0.87984,0,2,3,1,-0.0236,-0.001,34.44,4.53,1.616,0.827,26.01,0.737,False,0.1135,4.6897
0.702,0.87984,0,2,3,1,-0.0047,-0.0063,42.14,12.95,0.847,1.097,39.25,0.516,False,0.1646,6.5702
0.702,0.87984,0,2,3,1,-0.0662,-0.0113,32.29,6.35,0.976,1.372,24.98,0.672,True,0.7227,0.5931
0.702,0.87984,0,2,3,1,0.0126,-0.0061,36.4,7.02,1.178,0.736,32.58,0.723,False,0.208,2.1994
0.702,0.87984,0,2,3,1,-0.0522,0.008,20.91,9.92,1.472,1.009,24.22,0.778,False,0.1511,6.158
0.702,0.87984,0,2,3,1,0.0048,-0.0019,25.7,6.71,1.036,1.168,27.77,0.689,False,0.1269,2.1488
0.702,0.87984,0,2,3,1,-0.0405,0.005,40.19,4.84,1.753,1.392,23.74,0.565,True,1.0062,0.1694
0.702,0.87984,0,2,3,1,-0.0004,0.0042,36.37,13.08,1.356,0.825,29.98,0.451,True,0.9339,0.2979
0.702,0.87984,0,2,3,1,-0.0193,-0.0021,27.14,3.31,1.077,1.085,23.94,0.634,False,0.0778,3.1448
0.702,0.87984,0,2,3,1,-0.0129,-0.0045,27.96,13.28,0.843,1.003,39.58,0.522,False,0.1226,9.001
0.702,0.87984,0,2,3,1,-0.0043,0.0005,44.72,13.35,1.659,1.341,27.28,0.519,False,0.205,4.3943
0.702,0.87984,0,2,3,1,-0.036,0.0075,20.19,13.85,1.506,1.036,21.39,0.455,False,0.3449,1.2005
0.702,0.87984,0,2,3,1,-0.0415,-0.0037,37.07,11.98,1.267,1.18,21.01,0.691,False,0.2079,4.7741
0.702,0.87984,0,2,3,1,-0.0409,-0.0032,42.26,13.44,1.468,0.831,21.78,0.477,True,0.9217,0.2394
0.702,0.87984,0,2,3,1,0.0165,-0.018,31.51,6.76,1.48,1.243,28.85,0.512,True,0.7089,0.086
0.702,0.87984,0,2,3,1,0.024,-0.0025,28.5,10.5,1.492,1.394,22.67,0.642,False,0.3826,0.6168
