Mesh_X,Mesh_Y,Mesh_X_Index,Mesh_Y_Index,Pair_Index,Run_Index,Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT
0.7644,0.89856,4,3,48,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,False,2.1411,0.9708
0.78,0.97344,5,7,63,1,-0.0551,-0.0033,40.64,2.5,0.915,1.265,31.29,0.418,True,2.1556,0.6288
0.78,0.99216,5,8,64,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,False,2.2939,0.921
0.7956,0.86112,6,1,68,1,-0.0405,-0.0081,42.97,6.43,1.408,1.078,36.09,0.494,True,3.1467,0.2133
0.7956,0.87984,6,2,69,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,False,2.5728,0.8222
0.7956,0.89856,6,3,70,1,-0.0416,-0.0122,38.17,6.86,1.175,1.237,31.69,0.458,False,2.5096,0.6944
0.7956,0.89856,6,3,70,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,False,2.3076,0.9607
0.7956,0.89856,6,3,70,1,-0.0551,-0.0033,40.64,2.5,0.915,1.265,31.29,0.418,True,2.674,0.4013
0.7956,0.91728,6,4,71,1,-0.0416,-0.0122,38.17,6.86,1.175,1.237,31.69,0.458,False,2.5218,0.6755
0.7956,0.91728,6,4,71,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,False,2.3615,0.9346
0.7956,0.936,6,5,72,1,-0.0416,-0.0122,38.17,6.86,1.175,1.237,31.69,0.458,False,2.4968,0.7109
0.7956,0.936,6,5,72,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,False,2.52,0.8839
0.7956,0.936,6,5,72,1,-0.0579,0.0064,27.64,9.75,1.393,0.786,32.56,0.482,False,2.1746,0.647
0.7956,0.95472,6,6,73,1,-0.0416,-0.0122,38.17,6.86,1.175,1.237,31.69,0.458,False,2.1618,0.8211
0.7956,0.95472,6,6,73,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,False,2.1117,1.0699
0.7956,0.99216,6,8,75,1,-0.0416,-0.0122,38.17,6.86,1.175,1.237,31.69,0.458,False,2.699,0.6603
0.7956,0.99216,6,8,75,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,False,2.4906,0.8891
0.7956,1.01088,6,9,76,1,-0.0416,-0.0122,38.17,6.86,1.175,1.237,31.69,0.458,False,2.4649,0.7137
0.7956,1.01088,6,9,76,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,False,2.2696,0.956
0.7956,1.0296,6,10,77,1,-0.0416,-0.0122,38.17,6.86,1.175,1.237,31.69,0.458,False,2.4288,0.7515
0.7956,1.0296,6,10,77,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,False,2.965,0.7524
0.8112,0.8424,7,0,78,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,False,2.2942,0.9398
0.8112,0.86112,7,1,79,1,-0.0405,-0.0081,42.97,6.43,1.408,1.078,36.09,0.494,True,2.054,0.3877
0.8112,0.86112,7,1,79,1,-0.0551,-0.0033,40.64,2.5,0.915,1.265,31.29,0.418,True,2.0356,0.3358
0.8112,0.87984,7,2,80,1,-0.0416,-0.0122,38.17,6.86,1.175,1.237,31.69,0.458,False,3.1759,0.5828
0.8112,0.87984,7,2,80,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,False,2.1907,0.9774
0.8112,0.87984,7,2,80,1,-0.0579,0.0064,27.64,9.75,1.393,0.786,32.56,0.482,False,2.2781,0.6198
0.8112,0.89856,7,3,81,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,False,3.2759,0.6623
0.8112,0.89856,7,3,81,1,-0.0579,0.0064,27.64,9.75,1.393,0.786,32.56,0.482,False,2.4006,0.548
0.8112,0.91728,7,4,82,1,-0.0637,-0.0058,44.88,13.84,1.343,1.358,27.87,0.524,True,2.2057,0.7848
0.8112,0.91728,7,4,82,1,-0.0579,0.0064,27.64,9.75,1.393,0.786,32.56,0.482,False,2.1603,0.574
0.8112,0.936,7,5,83,1,-0.0579,0.0064,27.64,9.75,1.393,0.786,32.56,0.482,False,2.0248,0.586
